Education,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,NumWebVisitsMonth,Complain,Response,Age,Relationship_Status,Children,Total_Household,Parent,Frequency,Monetary,Avg_Purchase_Value,Loyalty,Income_per_Household_Member,High_Spender,Promo_Responsive,Preferred_Category,Engagement_Score
Graduate,4136,635,88,546,172,88,88,7,0,1,67,Single,0,1,0,25,1617.0,64.68,1,58138.0,1,0,Wines,1
Graduate,3586,11,1,6,2,1,6,5,0,0,70,Single,2,3,1,6,27.0,4.5,0,15448.0,0,0,Wines,0
Graduate,3785,426,49,127,111,21,42,4,0,0,59,Attached,0,2,0,21,776.0,36.95238095238095,1,35806.5,1,0,Wines,0
Graduate,3612,11,4,20,10,3,5,6,0,0,40,Attached,1,3,1,8,53.0,6.625,0,8882.0,0,0,Meat,0
Post-Grad,3634,173,43,118,46,27,15,5,0,0,43,Attached,1,3,1,19,422.0,22.210526315789473,1,19431.0,1,0,Wines,0
Post-Grad,3766,520,42,98,0,42,14,6,0,0,57,Attached,1,3,1,22,716.0,32.54545454545455,1,20837.666666666668,1,0,Wines,0
Graduate,4066,235,65,164,50,49,27,6,0,0,53,Single,1,2,1,21,590.0,28.095238095238095,1,27817.5,1,0,Wines,0
Post-Grad,3890,76,10,56,3,1,23,8,0,0,39,Attached,1,3,1,10,169.0,16.9,0,11151.333333333334,0,0,Wines,0
Post-Grad,3861,14,0,24,3,3,2,9,0,1,50,Attached,1,3,1,6,46.0,7.666666666666667,0,10117.0,0,0,Meat,1
Post-Grad,3581,28,0,6,1,1,13,20,0,0,74,Attached,2,4,1,2,49.0,24.5,0,1412.0,0,1,Wines,1
Pre-Grad,4066,6,16,11,11,1,16,8,0,0,48,Attached,0,2,0,6,61.0,10.166666666666666,0,3750.0,0,0,Fruits,0
Graduate,3699,194,61,480,225,112,30,2,0,0,65,Single,0,1,0,16,1102.0,68.875,1,63033.0,1,0,Meat,0
Post-Grad,3699,233,2,53,3,5,14,6,0,0,72,Single,2,3,1,15,310.0,20.666666666666668,0,19784.666666666668,0,0,Wines,0
Graduate,4100,3,14,17,6,1,5,8,0,0,37,Attached,0,2,0,5,46.0,9.2,0,8661.5,0,0,Meat,0
Post-Grad,4055,1006,22,115,59,68,45,3,0,1,78,Single,0,1,0,26,1315.0,50.57692307692308,1,82800.0,1,1,Wines,2
Graduate,4025,53,5,19,2,13,4,8,0,0,44,Attached,2,4,1,9,96.0,10.666666666666666,0,10462.5,0,0,Wines,0
Graduate,4140,84,5,38,150,12,28,7,0,0,78,Attached,0,2,0,13,317.0,24.384615384615383,0,18880.0,0,0,Fish,0
Post-Grad,3931,1012,80,498,0,16,176,5,0,0,75,Attached,1,3,1,26,1782.0,68.53846153846153,1,25665.0,1,1,Wines,0
Pre-Grad,4076,4,17,19,30,24,39,6,0,0,39,Single,1,2,1,8,133.0,16.625,0,16906.0,0,0,Gold,0
Graduate,4163,86,2,73,69,38,48,8,0,0,42,Attached,0,2,0,12,316.0,26.333333333333332,0,18520.0,0,0,Wines,0
Graduate,4012,1,1,1725,1,1,1,1,0,0,45,Attached,1,3,1,43,1730.0,40.23255813953488,1,815.6666666666666,1,0,Meat,0
Post-Grad,4026,867,0,86,0,0,19,8,0,0,75,Attached,1,3,1,17,972.0,57.1764705882353,1,19535.666666666668,1,1,Wines,1
Post-Grad,3642,384,0,102,21,32,5,4,0,0,70,Attached,1,3,1,20,544.0,27.2,1,21774.666666666668,1,0,Wines,0
Graduate,3941,270,3,27,39,6,99,8,0,0,73,Attached,1,3,1,20,444.0,22.2,1,13563.0,1,0,Wines,0
Graduate,4016,6,4,25,15,12,13,7,0,0,55,Single,0,1,0,8,75.0,9.375,0,18589.0,0,0,Meat,0
Graduate,3871,173,4,30,3,6,41,7,0,0,48,Attached,2,4,1,14,257.0,18.357142857142858,0,13339.75,0,0,Wines,0
Graduate,3867,36,2,42,20,21,10,3,0,0,35,Attached,1,3,1,9,131.0,14.555555555555555,0,12786.666666666666,0,0,Meat,0
Post-Grad,3692,684,100,801,21,66,0,2,0,0,59,Attached,0,2,0,26,1672.0,64.3076923076923,1,42309.0,1,1,Meat,1
Post-Grad,3511,8,4,10,2,2,4,5,0,0,35,Single,0,1,0,8,30.0,3.75,0,10979.0,0,0,Meat,0
Post-Grad,3887,112,17,44,34,22,89,3,0,0,61,Attached,0,2,0,11,318.0,28.90909090909091,0,19310.0,0,0,Wines,0
Graduate,4100,110,0,5,2,0,3,5,0,0,54,Attached,1,3,1,9,120.0,13.333333333333334,0,13516.0,0,1,Wines,1
Post-Grad,4081,96,12,96,33,22,43,6,0,1,72,Single,2,3,1,17,302.0,17.764705882352942,1,15536.666666666666,0,0,Wines,1
Post-Grad,3967,482,34,471,119,68,22,7,0,0,78,Attached,0,2,0,18,1196.0,66.44444444444444,1,34328.5,1,0,Wines,0
Post-Grad,3777,40,0,19,2,1,3,7,0,0,73,Single,2,3,1,6,65.0,10.833333333333334,0,16463.0,0,0,Wines,0
Post-Grad,3653,702,17,151,0,8,35,2,0,0,54,Attached,1,3,1,28,913.0,32.607142857142854,1,22451.0,1,0,Wines,0
Pre-Grad,3773,6,3,14,15,7,36,7,0,0,48,Attached,1,3,1,9,81.0,9.0,0,7906.0,0,0,Gold,0
Graduate,3611,55,0,6,2,0,4,5,0,0,51,Single,1,2,1,7,67.0,9.571428571428571,0,21214.5,0,0,Wines,0
